name,muscle
Bulgarian Split Squat,"Legs - Quads"
Single Leg Calf Raise,"Legs - Calves"
Sitting Calf Raise,"Legs - Calves"
Standing Calf Raise,"Legs - Calves"
Glute Bridges,"Legs - Glutes"
Hip Thrust,"Legs - Hamstrings"
Walking Lunges,"Legs - Glutes"
Lying Leg Curls,"Legs - Hamstrings"
Seated Leg Curl,"Legs - Hamstrings"
Romanian Deadlift,"Legs - Hamstrings"
Leg Extensions,"Legs - Quads"
Leg Press,"Legs - Quads"
Barbell Squat,"Legs - Quads"
Dead Bug,"Abs - Core"
Ab Wheel Rollout,"Abs - Core"
Plank,"Abs - Core"
Oblique Crunch,"Abs - Obliques"
Side Plank,"Abs - Lower Abs"
Russian Twists,"Abs - Obliques"
Captain's Chair Leg Raise,"Abs - Lower Abs"
Lying Leg Raise,"Abs - Lower Abs"
Hanging Leg Raise,"Abs - Lower Abs"
Machine Crunch,"Abs - Upper Abs"
Decline Crunch,"Abs - Upper Abs"
Cable Crunch,"Abs - Upper Abs"
Crunches,"Abs - Upper Abs"
Hyperextensions,"Back - Lower Back"
Romanian Deadlift,"Back - Lower Back"
Deadlift,"Back - Lower Back"
Machine Row,"Back - Mid Back"
Close Grip Cable Row,"Back - Mid Back"
One Arm Dumbbell Row,"Back - Mid Back"
Face Pull,"Back - Upper Back"
Seated Cable Row,"Back - Upper Back"
Machine T-Bar Row,"Back - Upper Back"
Barbell Row,"Back - Upper Back"
Single-Arm Lat Pulldown,"Back - Lats"
Close-Grip Pulldown,"Back - Lats"
Lat Pulldown,"Back - Lats"
Pull-Ups,"Back - Lats"
Cable Seated Chest Press,"Chest - Lower Chest"
High to Low Cable Fly,"Chest - Lower Chest"
Decline Bench Press,"Chest - Lower Chest"
Chest Dips,"Chest - Lower Chest"
Machine Chest Press,"Chest - Middle Chest"
Pushups,"Chest - Middle Chest"
Flat Dumbbell Press,"Chest - Middle Chest"
Flat Barbell Bench Press,"Chest - Middle Chest"
Low to High Cable Fly,"Chest - Upper Chest"
Incline Barbell Press,"Chest - Upper Chest"
Incline Dumbbell Press,"Chest - Upper Chest"
Bent Over Lateral Raise,"Shoulders - Posterior / Rear Delt (Back Shoulder)"
Face Pulls,"Shoulders - Posterior / Rear Delt (Back Shoulder)"
Reverse Pec Deck,"Shoulders - Posterior / Rear Delt (Back Shoulder)"
Upright Row,"Shoulders - Lateral Delt (Side Shoulder)"
Cable Lateral Raise (Leaning),"Shoulders - Lateral Delt (Side Shoulder)"
Dumbbell Lateral Raise,"Shoulders - Lateral Delt (Side Shoulder)"
Machine Shoulder Press,"Shoulders - Anterior Delt (Front Shoulder)"
Front Raise,"Shoulders - Anterior Delt (Front Shoulder)"
Dumbbell Shoulder Press,"Shoulders - Anterior Delt (Front Shoulder)"
Barbell Overhead Press,"Shoulders - Anterior Delt (Front Shoulder)"
Reverse Grip Bench Press,"Triceps - Medial Head"
Diamond Pushups,"Triceps - Medial Head"
Reverse Grip Cable Pushdowns,"Triceps - Medial Head"
Diamond Pushups,"Triceps - Lateral Head"
JM Press,"Triceps - Lateral Head"
Cable Rope Pushdowns,"Triceps - Lateral Head"
Dips (Weighted),"Triceps - Long Head"
Skull Crushers,"Triceps - Long Head"
Overhead Dumbbell Extension,"Triceps - Long Head"
Dumbbell Curls,"Biceps - Long Head"
Rope Hammer Curls,"Biceps - Brachialis"
Cross Body Hammer Curls,"Biceps - Brachialis"
Hammer Curls,"Biceps - Brachialis"
Concentration Curl,"Biceps - Short Head"
Preacher Curls,"Biceps - Long Head"
Wide Grip Barbell Curl,"Biceps - Short Head"
Narrow Grip Barbell Curl,"Biceps - Long Head"
Drag Curl,"Biceps - Long Head"
Incline Dumbbell Curls,"Biceps - Long Head"