name,category,calories,protein,ingredients,method,tips
Chickpea Salad,Veg,180,10,"1 cup chickpeas; onion; tomato; cucumber; lemon","Mix all ingredients. Chill and serve.","Add chaat masala for flavor; Use fresh veggies; Avoid excess salt"
Boiled Egg & Veg Bowl,High Protein,220,18,"2 eggs; spinach; carrot; pepper","Chop eggs. Mix with veggies. Serve.","Remove one yolk for fewer calories; Add lemon juice; Keep it simple"
Moong Dal Chilla,Veg,250,18,"moong dal; ginger; chilli","Blend batter. Cook like dosa.","Use non-stick pan; Add veggies; Keep batter medium thick"
Chicken Lettuce Wrap,Low Carb,280,30,"chicken; lettuce; sauce","Cook chicken. Wrap in lettuce.","Avoid heavy sauces; Eat fresh; Add chilli flakes"
Peanut Butter Protein Shake,Post Workout,300,25,"protein powder; peanut butter; water","Blend all. Serve immediately.","Use small peanut butter amount; No sugar needed; Best post workout"
Grilled Paneer Salad,Veg,270,22,"paneer; capsicum; onion","Grill paneer. Mix veggies.","Use low-fat paneer; Add herbs; Avoid excess oil"
Lentil Soup,Veg,200,14,"lentils; garlic; spices","Cook lentils. Add seasoning.","Avoid heavy tadka; Keep it light; Add lemon for taste"
Scrambled Tofu,Vegan,220,18,"tofu; onion; turmeric","Crumble tofu. Cook with spices.","Great egg substitute; Add veggies; Use minimal oil"
Air Fried Chicken,Non-Veg,300,35,"chicken breast; spices","Season chicken. Air fry.","No oil needed; Do not overcook; Use spices well"
Sprouts Salad,Veg,180,12,"sprouts; onion; lemon","Mix all ingredients.","Steam sprouts if needed; Add salt lightly; Eat fresh"
Protein Mug Cake,Snack,250,20,"protein powder; cocoa; milk","Mix and microwave.","Use stevia; Do not overcook; Adjust consistency"
Egg Bhurji (Low Oil),Non-Veg,260,20,"eggs; onion; tomato","Cook veggies. Add eggs.","Use minimal oil; Cook medium heat; Add spices lightly"
Coffee Protein Shake,Post Workout,200,25,"coffee; protein powder","Blend with ice.","No sugar needed; Use cold coffee; Great energy boost"
Chicken Soup,Non-Veg,220,28,"chicken; garlic; pepper","Boil chicken. Add spices.","Keep it clear; Avoid cream; Add herbs"
Cucumber Tuna Salad,Non-Veg,240,30,"tuna; cucumber; lemon","Mix all. Chill.","Avoid mayo; Add pepper; Eat fresh"
Cottage Cheese Bowl,Veg,210,20,"cottage cheese; pepper","Mix and serve.","Add herbs; Use low-fat cheese; Simple and filling"
Egg Drop Soup,High Protein,180,15,"egg; broth","Pour egg into hot soup.","Quick recipe; Keep it light; No heavy sauces"
Besan Chilla,Veg,230,14,"besan; onion; chilli","Make batter. Cook.","Add spinach; Use little oil; Keep batter smooth"
Chicken Stir Fry,Non-Veg,300,32,"chicken; vegetables","Stir fry everything.","Use less oil; Add soy lightly; Cook high heat"
Almond Protein Shake,Post Workout,210,25,"almond milk; protein powder","Blend and serve.","Use unsweetened milk; Add ice; No sugar needed"